,related,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report
water,0.13537467028265557,0.23951316170397427,0.0055674340551121635,0.31008787315413444,0.1364254792155248,0.2481653181105252,0.023567327687133047,-0.004798902000431231,-0.017459566127891315,0.0,1.0,0.35150323362785835,0.20761943997518087,0.09990206883995428,0.02643360417533699,0.004262535131550743,0.03302772742287525,0.007181176325586943,0.04558947507889562,0.07914590306120955,0.02323184268455489,0.03174117743393373,0.06283370037772816,0.03384668565381092,0.03611910761129459,0.04700055768733642,0.059649291992632414,0.055954097257302195,-0.0001472355092706695,0.021091749318879055,-0.004487427805526657,0.013592290369095712,-0.018047710921141803,0.006812783111377131,0.04834783791497249,0.1932300608213789
food,0.18386764827496602,0.35095875863215326,0.06428950326267743,0.42116540617497944,0.08841140826825111,0.190922964966068,0.01038395758076024,0.0021338882373609885,-0.028648630561673636,0.0,0.35150323362785835,1.0,0.22841587110752973,0.1976729027762357,0.053640328307624385,-0.01303077288033179,0.02429309949046537,0.0001651178205641803,0.036362329525159234,0.03995398743457357,0.014755573166137478,0.014728265546321711,0.0002550870141455924,0.026856810461487888,0.0015933395749381794,0.04229898334960802,0.03864882005828363,0.025595969854964234,-0.015497734100614809,0.012655945407986062,-0.0011200484931310679,0.007595562849865622,-0.056642422478213945,0.0023611676357258695,0.045147023860105155,0.2980588982859616
shelter,0.16147135644303118,0.28000926638731355,0.004935958094086262,0.3698646828845191,0.08204803277559812,0.16421308083379202,0.0368354134490685,0.020552643234846193,-0.023454066538877938,0.0,0.20761943997518087,0.22841587110752973,1.0,0.16544383127613427,0.0381019353765653,0.004481164266480165,0.18797944014672968,0.02006609901047693,0.06673475828563394,0.14770286141411343,0.02603283161872917,0.2168447139649723,0.023534209344261245,0.046594505745788196,0.027244674171281107,0.048521487709425756,0.15640559920988586,0.09713745558941224,0.09106347245473241,0.06795992684112584,0.05419487057202583,0.016989674419863623,0.021190697882130714,0.0716828645627203,0.05315449945499681,0.2340015933165231
clothing,0.06500993949975244,0.08174053398227699,0.060461756688280466,0.14891112075276922,0.03956546154202084,0.17788510618289746,0.012788274246454609,0.04814969197946758,-0.004029046223377866,0.0,0.09990206883995428,0.1976729027762357,0.16544383127613427,1.0,0.05280045450667797,0.006888790152984693,0.01620772377314459,-0.00670436754016219,0.047150471385154755,0.02954803129584888,0.021205365824186244,0.014499087020795925,0.019085538721014882,0.02998715344488478,0.04668256258448563,0.014374574704629734,0.03495783645743112,0.004777687635629709,0.01163119760840143,0.009630521509223413,-0.0031050702062736823,0.007879762652313162,-0.003184397504397174,0.04124151594875997,0.0023313110294624715,0.06667091247014698
money,0.0795990813635641,0.06264984460531878,0.05392610827644862,0.18232886398528775,0.021510242826190205,0.04394822354213982,0.01445055118879797,-0.0016370973016178794,-0.00117139517182012,0.0,0.02643360417533699,0.053640328307624385,0.0381019353765653,0.05280045450667797,1.0,0.0026550895547892447,0.01670885148120628,-0.001906382426603073,0.08917280435625981,0.06259080904079199,0.027065528360259116,0.03612065485836144,0.021045598429623676,0.024021292179338058,0.02823976299096428,0.027248891337002902,0.03505072728833497,0.0527070318208342,0.06903448122236823,0.045573106515777624,0.023226989799501017,0.0036987419000411976,0.062392132827684625,0.0050310616551406525,0.03225025510865701,0.016673808047630693
missing_people,0.055674158874503776,0.027569405396219385,-0.0072555733636189435,0.12752667451736024,0.08518752262647396,0.10044256487778974,0.2274130938349574,0.1477356963594838,0.024580397460612195,0.0,0.004262535131550743,-0.01303077288033179,0.004481164266480165,0.006888790152984693,0.0026550895547892447,1.0,0.13593492172703386,0.19343036775122036,0.06660444954305757,0.04158799260150664,0.20305764175290925,0.03557153082444575,0.022652280816488287,0.03787457046743093,0.020062596338608234,0.02464492463326243,0.03153637914252841,0.029575774848591942,0.1231691371127477,0.1730253369047183,0.030953203646896296,0.009690228261666814,0.05305796091225288,0.027957183985396362,0.031091236591535256,0.00821772435092496
refugees,0.09637422531629243,0.023825063696163083,-0.009402178049685002,0.22075384185826738,0.08095344460960224,0.08178716032287038,0.12796730497044148,0.10747089652932183,0.05749833077369987,0.0,0.03302772742287525,0.02429309949046537,0.18797944014672968,0.01620772377314459,0.01670885148120628,0.13593492172703386,1.0,0.10072584283842273,0.07520414288141139,0.12051194242233622,0.1417987346221264,0.08918718634544748,0.016754107232774755,0.023742967425238008,0.023703656705174367,0.043986423961276784,0.12521908182667288,0.08031478910759635,0.10508245284814015,0.14739885186856783,0.0373299708884398,0.03204425618543716,0.017495806996028405,0.03209850193047201,0.04569034173122447,0.005474884387681207
death,0.11332743941455604,0.008522536097002969,-0.014769070021100955,0.259586705435124,0.12004975645231367,0.059513110728818375,0.11374110406465125,0.09841072408592698,0.09827061447873274,0.0,0.007181176325586943,0.0001651178205641803,0.02006609901047693,-0.00670436754016219,-0.001906382426603073,0.19343036775122036,0.10072584283842273,1.0,0.0225261331115594,0.07872356844023908,0.1346321316287396,0.11980611939979799,0.013756610346871345,0.022941800260207913,0.028454980857966224,0.03662484821706542,0.03539844657343783,0.06734101848934643,0.16751983549547625,0.15864618350446233,0.07934251642566041,0.03567434284494805,0.09356437989296723,0.05301149473941916,0.08460113738226438,0.01071474696598056
other_aid,0.2017167931049273,0.24395865208605874,0.0324785381462203,0.4620504797742568,0.08231775163564087,0.10713771020723743,0.08316318417246683,0.06120666038008908,-0.0013613155691771014,0.0,0.04558947507889562,0.036362329525159234,0.06673475828563394,0.047150471385154755,0.08917280435625981,0.06660444954305757,0.07520414288141139,0.0225261331115594,1.0,0.13808164149691365,0.11744254865653389,0.08232820084266566,0.08848372958664767,0.05826485574475143,0.02814262827684163,0.02543527782099717,0.06624614848098455,0.13582996740744496,0.1695316400875489,0.10639245460852646,0.05815700418535772,0.03490073638103205,0.10435617050909828,0.033095663304328074,0.09664936720048899,0.19265275622010272
infrastructure_related,0.13670878967023675,0.021590939089032275,-0.013213711959772723,0.1975935865470602,0.10928039258294893,0.0974900593446056,0.09524439098192425,0.06563311737171354,0.054754788921728456,0.0,0.07914590306120955,0.03995398743457357,0.14770286141411343,0.02954803129584888,0.06259080904079199,0.04158799260150664,0.12051194242233622,0.07872356844023908,0.13808164149691365,1.0,0.1247439796397227,0.24708504179833907,0.10103035702965314,0.061077153647475714,0.3960780612109427,0.2571089116781319,0.41408042704593234,0.8124943838667013,0.2332668007590575,0.17200355200554746,0.11895147031318962,0.07595892336141961,0.09370469483734715,0.0775084241719815,0.15779349955428215,0.03111526611625163
